cpf,nome,equipe,turno,contato
94976077179,Ana Vitória Monteiro,Gerencia C,Manhã,603437555
32514185211,Milena Carvalho,Transporte A,Tarde,58373778
44621112732,João Felipe Nogueira,Equipe B,Noite,29563093
75759603841,Marina Peixoto,Equipe C,Noite,120889561
82075538808,Beatriz Melos,Gerencia B,Noite,8846677
15003100000,Sophia Santos,Gerencia B,Tarde,49481368
81515297098,Sra. Emanuelly da Luz2,Manut,Tarde,724537972
67737244816,João Felipe Ramos,Equip,Tarde,16322515
70013583123,Lorenzo Almeida,Gerencia A,Noite,986426516
90022104933,Rafaela Cardoso,Transporte A,Tarde,04008610
37682491078,Marcela Cunha,Gerencia C,Tarde,962260766
06912498817,Laura Porto EDITADA,Gerencia C,Tarde,12045125
37143151106,Sarah Azevedo,Transporte A,Manhã,895978604
03762904634,Maria Eduarda Caldeira1,Equip,Noite,706711
53137105919,Eduardo Pires,Equipe B,Manhã,86645060
42203306157,Kaique Nunes,Equipe A,Manhã,36824573
30322288401,Gustavo Henrique Novaes,Equipe C,Manhã,496477993
68270634450,Olivia Souza,Equipe C,Tarde,46201269
38723880376,João Felipe Ferreira,Equipe D,Tarde,93447578
02784490424,Daniela Cavalcanti,Equipe C,Noite,838482337
70984252223,Juan Lopes,Equipe B,Noite,850293807
33380217042,Sra. Brenda Mendes,Equipe A,Noite,31556524
63150589576,Otávio Nogueira,Equipe C,Noite,609656330
96574075599,Lucas Nogueira,Gerencia B,Manhã,48245564
43709824567,João Lucas Novaes,Gerencia B,Tarde,285662678
64908539227,Dra. Maria Sophia Nascimento,Gerencia C,Noite,031133228
82019258820,Sofia da Rosa,Manutenção A,Noite,054788238
32046358996,Juan Pinto,Gerencia B,Manhã,90611575
10509961789,Sr. João Guilherme Aragão,Manutenção A,Tarde,051913848
00603427570,Igor Peixoto,Gerencia A,Tarde,929104710
42780980222,Daniela da Costa,Equipe C,Tarde,954839948
44744169295,Sra. Bianca da Mota,Gerencia A,Noite,772712523
35254627867,Vitória Nascimento,Equipe C,Noite,046821153
95428405430,Isabelly Cardoso,Equipe C,Tarde,23257309
41657403300,Sophie Gomes,Equipe A,Manhã,22075326
43816738320,Ana Sophia Azevedo,Gerencia A,Tarde,17103311
97439750470,Sr. Luiz Felipe Martins,Equipe B,Tarde,664062541
77596635792,Maitê da Mota,Gerencia A,Manhã,204675305
11973200082,Ana Julia Campos,Equipe D,Manhã,913809408
46532028509,André Cunha,Transporte A,Manhã,21450788
16925085559,Luiz Henrique Vieira,Equipe D,Tarde,352852353
30763786004,Nicole Pereira,Gerencia B,Tarde,692566724
62348452073,Esther Mendes,Manutenção A,Noite,386749234
40530468662,Leonardo Ramos,Transporte A,Noite,223532145
38308189040,Maria Fernanda Cunha,Transporte A,Tarde,93338779
53297627077,Rafael Souza,Gerencia C,Manhã,548859523
93996249608,Sr. Leandro Lima,Equipe B,Noite,95569869
86183853100,Alice Nascimento,Equipe D,Tarde,59614275
88988388593,Natália Gonçalves,Equipe D,Manhã,84687771
41179024583,Dra. Luna Lima,Equipe C,Manhã,156817409
90227047699,João Pedro Moura,Equipe A,Manhã,858602972
24762798380,Dr. Nathan Rocha,Equipe A,Tarde,939443167
54997995207,Pietra das Neves,Equipe D,Tarde,756155772
60632999047,Dr. Ian Caldeira,Gerencia B,Noite,06898520
94800729980,Diego Costa,Equipe B,Tarde,78554232
46695983097,Ryan Viana,Gerencia B,Tarde,360526468
54295879312,Ana Laura Teixeira,Gerencia B,Manhã,80636839
19555785910,Paulo Mendes,Equipe C,Manhã,319631224
24452498051,Maria Eduarda Gomes,Gerencia A,Noite,63827119
95663261222,Giovanna Farias,Manutenção A,Manhã,369983775
69365102480,Luana Jesus,Manutenção A,Noite,394637783
38594173040,Caroline Duarte,Gerencia B,Tarde,27800091
96810311998,João Guilherme Aragão,Equipe A,Manhã,447125144
17680475881,Bruno Porto,Gerencia C,Manhã,464932379
82798046335,Antônio Cardoso,Equipe A,Tarde,82360120
32453864866,Luiz Otávio Porto,Equipe A,Tarde,11870076
69547895931,Miguel Correia,Equipe B,Noite,690038503
95419273438,Davi Lucca Correia,Gerencia A,Noite,699308115
25007709824,Isis Fogaça,Manutenção A,Tarde,95716139
09258719239,Natália Almeida,Transporte A,Tarde,67435418
92614885363,Júlia Barbosa,Gerencia B,Noite,60393820
13594201937,Mirella da Rosa,Gerencia B,Noite,79684796
60715813544,Evelyn Silva,Manutenção A,Noite,579783544
46067186411,Letícia Freitas,Equipe C,Noite,91170416
84972122072,Noah da Cunha,Equipe B,Manhã,782399682
86390344279,Dr. Luiz Miguel Almeida,Equipe C,Manhã,74335178
33367882267,Pedro Miguel Lopes,Manutenção A,Noite,01857169
07291336724,Maria Luiza Pereira,Equipe D,Noite,735786751
31297336984,Benício Barbosa,Gerencia C,Tarde,38326728
75827067652,Pedro Miguel da Luz,Equipe C,Noite,929411319
90979089654,Luiz Gustavo Dias,Manutenção A,Tarde,062032734
92571270877,Raquel da Rocha,Equipe B,Manhã,19497440
06361378217,Cecília Nunes,Gerencia A,Manhã,34556264
93316181075,Heitor Azevedo,Gerencia A,Noite,88839552
55005978682,Sr. Erick Rocha,Equipe B,Tarde,45621310
22093084457,Maria Alice das Neves,Equipe A,Manhã,19040826
72119631662,Nina Porto,Equipe D,Tarde,574094693
79936332733,Srta. Alícia Carvalho,Equipe C,Manhã,023908396
97824532267,Elisa Fogaça,Equipe C,Manhã,44842624
64777210669,Heitor Cunha,Equipe A,Noite,836373734
01753446635,Ana Carolina da Paz,Equipe B,Noite,01880566
56833690103,Catarina Cunha,Equipe A,Noite,138043834
60404656625,Maitê Ribeiro,Equipe C,Manhã,78362660
29069116154,Paulo da Cruz,Equipe B,Noite,219333968
32697198768,Stephany Fernandes,Manutenção A,Manhã,513652456
08101792457,Srta. Catarina Gomes,Equipe D,Tarde,115595410
44705626966,Alícia Novaes,Transporte A,Manhã,76151992
21540140113,Pedro Henrique Correia,Equipe B,Tarde,829298975
00590456121,Sr. Luiz Gustavo Ramos,Transporte A,Manhã,72762726
92417719096,Sarah da Paz,Gerencia B,Tarde,563377774
69973428846,Ana Laura Caldeira,Manutenção A,Noite,35599664
24895609723,Dr. Cauê Aragão,Gerencia A,Noite,808170674
80842710914,Fernanda Monteiro,Equipe D,Tarde,037705621
12674902680,João Vitor da Rosa,Equipe A,Tarde,28623400
08861014500,Antônio Gonçalves,Gerencia A,Tarde,14400728
63565209909,Dr. Diogo Monteiro,Equipe D,Noite,611936934
61103902679,Eduarda Viana,Gerencia A,Noite,111471369
93258873127,Isabelly Fogaça,Gerencia B,Tarde,464048502
28959782556,Pietro Barbosa,Equipe C,Tarde,15068882
41089294972,Heloísa Viana,Equipe D,Tarde,63073992
77950432675,Calebe Santos,Gerencia C,Tarde,46011706
84515642758,Eduardo Caldeira,Gerencia A,Noite,950753961
89102277530,Marina Novaes,Manutenção A,Tarde,48403457
84492461990,Dr. Pedro Henrique Araújo,Transporte A,Tarde,63892542
75811602383,Milena Santos,Equipe D,Noite,71064389
51189098300,Sra. Bárbara Nascimento,Manutenção A,Noite,09100887
78604799664,Murilo Silva,Gerencia A,Tarde,42659998
25492552759,Daniel Dias,Transporte A,Manhã,367847552
13266529073,Igor da Cunha,Equipe C,Manhã,76823434
55500192647,Sra. Nicole Caldeira,Gerencia A,Tarde,838856111
66495670869,Evelyn da Paz,Transporte A,Noite,34231730
75191525701,Maria Vitória da Cruz,Equipe A,Manhã,527038811
16003263407,Maysa da Conceição,Gerencia A,Manhã,261696739
44694498819,Olivia Nascimento,Equipe A,Noite,99876435
28734861475,Dra. Stephany Gonçalves,Transporte A,Tarde,670630067
55277144404,Kevin da Luz,Gerencia A,Noite,653663629
62160275301,Sarah Barros,Gerencia A,Noite,499631841
68840249508,Vitor Gomes,Equipe C,Tarde,700612109
87885687848,João Vitor Carvalho,Manutenção A,Noite,301520218
35804847880,Ian Oliveira,Gerencia B,Manhã,36936353
70066991005,Rafael Monteiro,Manutenção A,Manhã,37470974
29994972294,Ana Castro,Equipe D,Manhã,643505706
05451410879,Danilo Moreira,Equipe D,Manhã,71427615
92433116899,Evelyn Cavalcanti,Gerencia C,Manhã,92694704
52353279260,Kamilly Rezende,Equipe A,Tarde,962732313
57072146822,Rafaela da Mata,Manutenção A,Manhã,75733801
57682356553,Maria Julia da Cruz,Gerencia B,Manhã,70497628
35644406580,Alana Lopes,Transporte A,Tarde,737841625
16895620800,Lívia Carvalho,Gerencia C,Noite,562441736
58047444107,Dr. Daniel Sales,Transporte A,Noite,45129765
64848007232,Srta. Eduarda Aragão,Gerencia C,Manhã,713549601
90841513724,Eloah Moraes,Equipe C,Tarde,017878234
28300099913,Arthur Barbosa,Manutenção A,Tarde,89648797
58631436224,Davi da Paz,Transporte A,Manhã,12128344
65015944306,Cauê Sales,Gerencia C,Manhã,348276639
28140064017,Leonardo Correia,Equipe A,Manhã,77926418
58486240549,Srta. Evelyn Carvalho,Equipe A,Noite,247255163
89610895794,Heloísa Campos,Manutenção A,Noite,67371050
